"","Company","SeasonEpisode","Number of Presenters","Eth1","Eth2","Eth3","Eth4","Eth5","Male1","Male2","Male3","Male4","Female1","Female2","Female3","Female4","Novelties","Health / Wellness","Food and Beverage","Business Services","Lifestyle / Home","Software / Tech","Children / Education","Automotive","Fashion / Beauty","Media / Entertainment","Fitness / Sports / Outdoors","Pet Products","Travel","Green/CleanTech","Uncertain / Other","MalePresenter","FemalePresenter","MixedGenderPresenters","CompanyState","AmountRequested","EquityRequested","ImpliedValuationRequested","BarbaraCorcoran","MarkCuban","LoriGreiner","RobertHerjavec","DaymondJohn","KevinOLeary","KevinHarrington","Guest"
"112","BooBooGoo","Shark.Tank.S05E20",2,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"CA",1e+05,0.18,571429,1,1,1,1,0,1,0,0
"113","KodiakCakes","Shark.Tank.S05E22",2,2,4,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"UT",5e+05,0.1,5e+06,1,1,1,1,0,1,0,0
"114","ThePaintBrushCover","Shark.Tank.S05E22",3,4,4,4,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"NJ",50000,0.1,5e+05,1,1,1,1,0,1,0,0
"115","VelocitySigns","Shark.Tank.S05E23",2,2,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"CA",225000,0.15,1500000,1,1,1,1,0,1,0,0
"116","FuntimeExpress","Shark.Tank.S05E24",2,2,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"IL",125000,0.2,625000,0,1,1,1,1,1,0,0
"117","PowerPot","Shark.Tank.S05E24",2,2,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"UT",250000,0.1,2500000,0,1,1,1,1,1,0,0
"118","ZooBean","Shark.Tank.S05E25",2,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"DC",250000,0.15,1666667,1,1,1,1,0,1,0,0
"119","Bombas","Shark.Tank.S06E01",2,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,"NY",2e+05,0.05,4e+06,0,1,1,1,1,1,0,0
"120","WeddingWagon","Shark.Tank.S06E02",2,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,"NV",125000,0.2,625000,1,1,1,1,0,1,0,0
"121","Roominate","Shark.Tank.S06E02",2,2,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"CA",5e+05,0.05,1e+07,1,1,1,1,0,1,0,0
"122","TheRedDressBoutique","Shark.Tank.S06E05",2,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"GA",6e+05,0.05,1.2e+07,0,1,1,1,1,1,0,0
"123","Honeyfund","Shark.Tank.S06E06",2,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"CA",4e+05,0.1,4e+06,1,1,1,1,0,1,0,0
"124","Singtrix","Shark.Tank.S06E07",2,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"NY",1500000,0.05,3e+07,0,1,1,1,1,1,0,0
"125","PriorityOneCanine","Shark.Tank.S06E08",1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"OH",75000,0.15,5e+05,0,1,1,1,1,1,0,0
"126","TheNaturalGrip","Shark.Tank.S06E08",1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"KY",1e+05,0.2,5e+05,0,1,1,1,1,1,0,0
"127","EarthLog","Shark.Tank.S06E10",1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"CA",160000,0.2,8e+05,0,1,1,0,1,1,0,1
"128","KitchenSafe","Shark.Tank.S06E10",2,2,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"CA",1e+05,0.05,2e+06,0,1,1,0,1,1,0,1
"129","MagicCook","Shark.Tank.S06E10",1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"CA",1e+05,0.33,303030,0,1,1,0,1,1,0,1
"130","SWAGEssentials","Shark.Tank.S06E11",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,"TX",125000,0.2,625000,0,1,1,1,1,1,0,0
"131","HoppyPaws","Shark.Tank.S06E12",1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"CA",50000,0.1,5e+05,1,1,1,1,0,1,0,0
"132","SkinnyShirt","Shark.Tank.S06E13",1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,"NY",1e+05,0.2,5e+05,1,1,1,1,0,1,0,0
"133","Doorman","Shark.Tank.S06E13",1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"CA",25000,0.1,250000,1,1,1,1,0,1,0,0
"134","BottleBright","Shark.Tank.S06E14",2,4,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"VA",75000,0.15,5e+05,1,1,1,1,0,1,0,0
"135","Lumio","Shark.Tank.S06E15",1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"CA",250000,0.08,3125000,0,1,1,1,1,1,0,0
"136","BelloVerde","Shark.Tank.S06E15",1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,"OH",360000,0.06,6e+06,0,1,1,1,1,1,0,0
"137","TycoonRealEstate","Shark.Tank.S06E16",1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"CA",50000,0.05,1e+06,1,1,1,1,0,1,0,0
"138","BalmChickyBalmBalm","Shark.Tank.S06E17",2,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,"OR",75000,0.2,375000,1,1,1,1,0,1,0,0
"139","TheLipBar","Shark.Tank.S06E18",2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,"NY",125000,0.2,625000,0,1,1,1,1,1,0,0
"140","HimalayanDogChew","Shark.Tank.S06E18",3,4,4,4,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,"WA",750000,0.05,1.5e+07,0,1,1,1,1,1,0,0
"141","SsekoDesigns","Shark.Tank.S06E19",2,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"OR",3e+05,0.1,3e+06,1,1,1,1,0,1,0,0
"142","GoldRushNuggetBucket","Shark.Tank.S06E19",1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"OR",60000,0.15,4e+05,1,1,1,1,0,1,0,0
"143","Scholly","Shark.Tank.S06E20",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"PA",40000,0.15,266667,0,1,1,1,1,1,0,0
"144","EmazingLights","Shark.Tank.S06E22",1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"CA",650000,0.05,1.3e+07,0,1,1,1,1,1,0,0
"145","iCPooch","Shark.Tank.S06E23",2,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"WA",150000,0.2,750000,0,1,1,1,1,1,0,0
"146","BeeThinking","Shark.Tank.S06E24",1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"OR",4e+05,0.1,4e+06,0,1,1,1,1,1,0,0
"147","PullyPalz","Shark.Tank.S06E24",1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,"GA",1e+05,0.2,5e+05,0,1,1,1,1,1,0,0
"148","Budsies","Shark.Tank.S06E24",1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"FL",1e+05,0.05,2e+06,0,1,1,1,1,1,0,0
"149","MelniConnectors","Shark.Tank.S06E25",3,2,2,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"ID",5e+05,0.05,1e+07,1,1,1,1,0,1,0,0
"150","NoeneUSA","Shark.Tank.S06E26",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"GA",1e+05,0.1,1e+06,0,1,1,1,1,1,0,0
"151","ZoomInteriors","Shark.Tank.S06E28",3,2,2,2,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"PA",1e+05,0.2,5e+05,1,1,1,1,0,1,0,0
"152","Spikeball","Shark.Tank.S06E29",1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"IL",5e+05,0.1,5e+06,0,1,1,0,1,1,0,1
"153","SwayMotorsports","Shark.Tank.S06E29",1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"CA",3e+05,0.1,3e+06,0,1,1,0,1,1,0,1
"154","TheTwoGuysBowtieCompany","Shark.Tank.S07E03",2,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,NA,150000,0.1,1500000,0,1,1,0,1,1,0,1
"155","DudeWipes","Shark.Tank.S07E04",3,2,2,4,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,3e+05,0.1,3e+06,1,1,1,1,0,1,0,0
"156","EZPeeZ","Shark.Tank.S07E04",1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,NA,50000,0.15,333333,1,1,1,1,0,1,0,0
"157","SwitchWitch","Shark.Tank.S07E05",2,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,NA,55000,0.25,220000,0,1,1,1,1,1,0,0
"158","ThreeJerksJerky","Shark.Tank.S07E05",2,4,4,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,1e+05,0.15,666667,0,1,1,1,1,1,0,0
"159","RentLikeaChamp","Shark.Tank.S07E06",2,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,NA,2e+05,0.1,2e+06,0,1,1,1,0,1,0,1
"160","CleanCube","Shark.Tank.S07E07",2,2,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,3e+05,0.1,3e+06,1,1,1,1,0,1,0,0
"161","AdvancedSportsTechnology","Shark.Tank.S07E09",1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,160000,0.1,1600000,0,1,1,1,1,1,0,0
"162","BraziBites","Shark.Tank.S07E09",2,2,4,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,2e+05,0.1,2e+06,0,1,1,1,1,1,0,0
"163","GlowRecipe","Shark.Tank.S07E10",2,3,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,NA,425000,0.1,4250000,1,1,1,1,0,1,0,0
"164","BeardHead","Shark.Tank.S07E11",1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,NA,250000,0.25,1e+06,1,1,1,1,0,1,0,0
"165","geekmytree","Shark.Tank.S07E11",1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,225000,0.25,9e+05,1,1,1,1,0,1,0,0
"166","ExtremeSandbox","Shark.Tank.S07E12",1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,NA,150000,0.15,1e+06,0,1,1,1,1,1,0,0
"167","Fireavert","Shark.Tank.S07E12",1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,3e+05,0.07,4285714,0,1,1,1,1,1,0,0
"168","TotalTieKeep","Shark.Tank.S07E12",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,NA,50000,0.25,2e+05,0,1,1,1,1,1,0,0
"169","ControlledChaos","Shark.Tank.S07E13",2,4,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,NA,50000,0.2,250000,1,1,1,1,0,1,0,0
"170","HatchBaby","Shark.Tank.S07E14",2,2,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,NA,250000,0.025,1e+07,0,1,1,1,0,1,0,1
"171","MajorMom","Shark.Tank.S07E16",1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,150000,0.2,750000,0,1,1,1,1,1,0,0
"172","SmartPlate","Shark.Tank.S07E17",1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,1e+06,0.15,6666667,1,1,0,0,1,1,0,1
"173","Nohbo","Shark.Tank.S07E18",2,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,NA,1e+05,0.2,5e+05,1,1,1,1,0,1,0,0
"174","tutublue","Shark.Tank.S07E18",1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,NA,2e+05,0.25,8e+05,1,1,1,1,0,1,0,0
"175","RagstoRaches","Shark.Tank.S07E19",1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,NA,2e+05,0.1,2e+06,0,1,1,1,1,1,0,0
"176","PRx","Shark.Tank.S07E19",2,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,80000,0.1,8e+05,0,1,1,1,1,1,0,0
"177","Wondercide","Shark.Tank.S07E22",2,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,5e+05,0.05,1e+07,0,1,1,1,1,1,0,0
"178","PrideBites","Shark.Tank.S07E23",2,4,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,NA,2e+05,0.1,2e+06,0,1,1,1,1,1,0,0
"179","Popslate","Shark.Tank.S07E24",1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,NA,5e+05,0.05,1e+07,0,1,1,1,0,1,0,1
"180","brellabox","Shark.Tank.S07E26",2,2,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"NY",4e+05,0.2,2e+06,1,1,0,0,1,1,0,1
"181","EVPExtremeVehicleProtection","Shark.Tank.S07E28",2,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"NY",50000,0.2,250000,0,1,1,1,1,1,0,0
"182","GladiatorLacrosse","Shark.Tank.S07E28",1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,NA,1e+05,0.15,666667,0,1,1,1,1,1,0,0
"183","Rethink","Shark.Tank.S08E01",1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,"IL",1e+05,0.2,5e+05,1,1,1,1,1,1,0,0
"184","IceAgeMeals","Shark.Tank.S08E02",1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"CA",1e+06,0.1,1e+07,0,1,1,1,1,1,0,0
"185","RaisingWild","Shark.Tank.S08E03",2,2,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,"FL",1e+05,0.2,5e+05,1,1,1,1,0,1,0,0
"186","AngelsandTomboys","Shark.Tank.S08E04",3,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,"TN",55000,0.2,275000,0,1,1,1,1,1,0,0
"187","Solemates","Shark.Tank.S08E04",2,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,"NY",5e+05,0.1,5e+06,0,1,1,1,1,1,0,0
"188","SandiLakeClothing","Shark.Tank.S08E05",1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,"OR",1e+05,0.1,1e+06,1,1,1,1,0,1,0,0
"189","Unpack","Shark.Tank.S08E06",2,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"NY",5e+05,0.4,1250000,0,1,1,1,1,1,0,0
"190","EcoFlower","Shark.Tank.S08E07",1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"UT",4e+05,0.1,4e+06,1,1,1,1,1,1,0,0
"191","SafeCatch","Shark.Tank.S08E07",2,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"CA",6e+05,0.03,2e+07,1,1,1,1,1,1,0,0
"192","LineCutterz","Shark.Tank.S08E09",1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"WI",120000,0.2,6e+05,0,1,1,1,1,1,0,0
"193","Digiwrap","Shark.Tank.S08E11",2,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"IL",150000,0.1,1500000,1,1,1,1,0,1,0,0
"194","HandOutGloves","Shark.Tank.S08E11",2,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"UT",150000,0.2,750000,1,1,1,1,0,1,0,0
"195","SealedbySanta","Shark.Tank.S08E11",1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,"FL",150000,0.2,750000,1,1,1,1,0,1,0,0
"196","Getaway","Shark.Tank.S08E14",2,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"MA",5e+05,0.05,1e+07,1,1,1,0,0,1,0,1
"197","Vibes","Shark.Tank.S08E14",1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"MN",1e+05,0.2,5e+05,1,1,1,0,0,1,0,1
"198","Chirps","Shark.Tank.S08E14",2,3,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"CA",99999.97,0.07,1428571,1,1,1,0,0,1,0,1
"199","LittleNomad","Shark.Tank.S08E15",1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"CT",79999.95,0.15,533333,0,1,1,1,1,1,0,0
"200","Kooler","Shark.Tank.S08E15",1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"NV",49999.95,0.15,333333,0,1,1,1,1,1,0,0
"201","PeacefulFruits","Shark.Tank.S08E16",1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"OH",75000,0.2,375000,0,1,1,1,1,1,0,0
"202","DocSpartan","Shark.Tank.S08E16",2,2,4,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"OH",75000,0.15,5e+05,0,1,1,1,1,1,0,0
"203","Toymail","Shark.Tank.S08E17",1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,"NY",250000,0.025,1e+07,0,1,1,1,0,1,0,1
"204","EDNWallGarden","Shark.Tank.S08E17",1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,"CO",150000,0.1,1500000,0,1,1,1,0,1,0,1
"205","elephantpants","Shark.Tank.S08E18",2,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,"NY",5e+05,0.1,5e+06,0,1,1,1,1,1,0,0
"206","Rareform","Shark.Tank.S08E19",2,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,"CA",3e+05,0.1,3e+06,1,1,1,1,0,1,0,0
"207","MealEnders","Shark.Tank.S08E19",1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"CA",350000,0.08,4375000,1,1,1,1,0,1,0,0
"208","GuardianBikes","Shark.Tank.S08E21",2,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"CA",5e+05,0.1,5e+06,1,1,1,0,0,1,0,1
"209","WalletBuckle","Shark.Tank.S08E23",2,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,"CA",5e+05,0.1,5e+06,0,1,1,1,1,1,0,0
"210","ThompsonTee","Shark.Tank.S08E23",2,2,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,"CA",7e+05,0.07,1e+07,0,1,1,1,1,1,0,0
"211","RocketBook","Shark.Tank.S08E24",2,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"MA",4e+05,0.1,4e+06,1,1,1,1,0,1,0,0
"212","SierraMadreResearch","Shark.Tank.S09E01",2,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"MS",175000.05,0.15,1166667,0,1,1,1,1,0,0,1
"213","LockerBoard","Shark.Tank.S09E01",2,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"CA",60000,0.15,4e+05,0,1,1,1,1,0,0,1
"214","Firdgetland","Shark.Tank.S09E03",1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"AZ",50000,0.1,5e+05,1,1,1,1,0,1,0,0
"215","IceShaker","Shark.Tank.S09E04",1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"TX",100000.05,0.15,666667,1,1,1,0,0,1,0,1
"216","DrainWig","Shark.Tank.S09E06",2,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"UT",3e+05,0.05,6e+06,0,1,1,0,1,1,0,1
"217","Bravo","Shark.Tank.S09E09",2,4,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"AZ",150000,0.05,3e+06,1,1,1,0,0,1,0,1
"218","SmartGurlz","Shark.Tank.S09E10",1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,"MD",2e+05,0.05,4e+06,0,1,1,1,1,0,0,1
"219","Mush","Shark.Tank.S09E12",2,4,4,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"CA",3e+05,0.1,3e+06,1,1,1,1,0,0,0,1
"220","Hater","Shark.Tank.S09E12",1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"NY",2e+05,0.05,4e+06,1,1,1,1,0,0,0,1
"221","EverlyWell","Shark.Tank.S09E12",1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"TX",1e+06,0.05,2e+07,1,1,1,1,0,0,0,1
"222","Frywall","Shark.Tank.S09E14",1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"NY",1e+05,0.1,1e+06,0,1,1,1,1,1,0,0
"223","iFork","Shark.Tank.S09E15",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"NY",1e+05,0.05,2e+06,1,1,1,1,0,0,0,1
"224","GoatPetProducts","Shark.Tank.S09E16",1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"MI",498999.96,0.09,5544444,0,1,1,1,1,1,0,0
"225","AlicesTable","Shark.Tank.S09E17",1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"MA",252000,0.063,4e+06,0,1,1,0,1,1,0,1
